empid,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,dept,salary
1001,0.38,0.53,2,157,3,0,1,0,sales,low
1002,0.8,0.86,5,262,6,0,1,0,sales,medium
1003,0.11,0.88,7,272,4,0,1,0,sales,medium
1004,0.72,0.87,5,223,5,0,1,0,sales,low
1005,0.37,0.52,2,159,3,0,1,0,sales,low
1006,0.41,0.5,2,153,3,0,1,0,sales,low
1007,0.1,0.77,6,247,4,0,1,0,sales,low
1008,0.92,0.85,5,259,5,0,1,0,Sales,low
1009,0.89,1,5,224,5,0,1,0,sales,low
1010,0.42,0.53,2,142,3,0,1,0,sales,low
1011,0.45,0.54,2,135,3,0,1,0,sales,low
1012,0.11,0.81,6,305,4,0,1,0,sales,low
1013,0.84,0.92,4,234,5,0,1,0,sales,low
1014,0.41,0.55,2,148,3,0,1,0,Sales,low
1015,0.36,0.56,2,137,3,0,1,0,sales,low
1016,0.38,0.54,2,143,3,0,1,0,sales,low
1017,0.45,0.47,2,160,3,0,1,0,sales,low
1018,0.78,0.99,4,255,6,0,1,0,sales,low
1019,0.45,0.51,2,160,3,1,1,1,sales,low
1020,0.76,0.89,5,262,5,0,1,0,sales,low
1021,0.11,0.83,6,282,4,0,1,0,sales,low
1022,0.38,0.55,2,147,3,0,1,0,sales,low
1023,0.09,0.95,6,304,4,0,1,0,sales,low
1024,0.46,0.57,2,139,3,0,1,0,sales,low
1025,0.4,0.53,2,158,3,0,1,0,sales,low
1026,0.89,0.92,5,242,5,0,1,0,sales,low
1027,0.82,0.87,4,239,5,0,1,0,sales,low
1028,0.4,0.49,2,135,3,0,1,0,sales,low
1029,0.41,0.46,2,128,3,0,1,0,accounting,low
1030,0.38,0.5,2,132,3,0,1,0,accounting,low
1031,0.09,0.62,6,294,4,0,1,0,accounting,low
1032,0.45,0.57,2,134,3,0,1,0,hr,low
1033,0.4,0.51,2,145,3,0,1,0,hr,low
1034,0.45,0.55,2,140,3,0,1,0,hr,low
1035,0.84,0.87,4,246,6,0,1,0,hr,low
1036,0.1,0.94,6,255,4,0,1,0,technical,low
1037,0.38,0.46,2,137,3,0,1,0,technical,low
1038,0.45,0.5,2,126,3,0,1,0,technical,low
1039,0.11,0.89,6,306,4,0,1,0,technical,low
1040,0.41,0.54,2,152,3,0,1,0,technical,low
1041,0.87,0.88,5,269,5,0,1,0,technical,low
1042,0.45,0.48,2,158,3,0,1,0,technical,low
1043,0.4,0.46,2,127,3,0,1,0,technical,low
1044,0.1,0.8,7,281,4,0,1,0,technical,low
1045,0.09,0.89,6,276,4,0,1,0,technical,low
1046,0.84,0.74,3,182,4,0,1,0,technical,loow
1047,0.4,0.55,2,147,3,0,1,0,support,low
1048,0.57,0.7,3,273,6,0,1,0,support,low
1049,0.4,0.54,2,148,3,0,1,0,suppport,low
1050,0.43,0.47,2,147,3,0,1,0,support,low
1051,0.13,0.78,6,152,2,0,1,0,support,low
1052,0.44,0.55,2,135,3,0,1,0,support,low
1053,0.38,0.55,2,134,3,0,1,0,support,low
1054,0.39,0.54,2,132,3,0,1,0,support,low
1055,0.1,0.92,7,307,4,0,1,0,support,low
1056,0.37,0.46,2,140,3,0,1,0,support,low
1057,0.11,0.94,7,255,4,0,1,0,support,low
1058,0.1,0.81,6,309,4,0,1,0,technical,low
1059,0.38,0.54,2,128,3,0,1,0,technical,low
1060,0.85,1,4,225,5,0,1,0,technical,low
1061,0.85,0.91,5,226,5,0,1,0,management,medium
1062,0.11,0.93,7,308,4,0,1,0,IT,medium
1063,0.1,0.95,6,244,5,0,1,0,IT,medium
1064,0.36,0.56,2,132,3,0,1,0,IT,medium
1065,0.11,0.94,6,286,4,0,1,0,IT,medium
1066,0.81,0.7,6,161,4,0,1,0,IT,medium
1067,0.43,0.54,2,153,3,0,1,0,product_mng,medium
1068,0.9,0.98,4,264,6,0,1,0,product_mng,medium
1069,0.76,0.86,5,223,5,1,1,0,product_mng,medium
1070,0.43,0.5,2,135,3,0,1,0,product_mng,medium
1071,0.74,0.99,2,277,3,0,1,0,IT,medium
1072,0.09,0.77,5,275,4,0,1,0,product_mng,medium
1073,0.45,0.49,2,149,3,0,1,0,product_mng,high
1074,0.09,0.87,7,295,4,0,1,0,product_mng,low
1075,0.11,0.97,6,277,4,0,1,0,product_mng,medium
1076,0.11,0.79,7,306,4,0,1,0,product_mng,medium
1077,0.1,0.83,6,295,4,0,1,0,product_mng,medium
1078,0.4,0.54,2,137,3,0,1,0,marketing,medium
1079,0.43,0.56,2,157,3,0,1,0,sales,low
1080,0.39,0.56,2,142,3,0,1,0,accounting,low
1081,0.45,0.54,2,140,3,0,1,0,support,low
1082,0.38,0.49,2,151,3,0,1,0,technical,low
1083,0.79,0.59,4,139,3,0,1,1,management,low
1084,0.84,0.85,4,249,6,0,1,0,marketing,low
1085,0.11,0.77,6,291,4,0,1,0,marketing,low
1086,0.11,0.87,6,305,4,0,1,0,marketing,low
1087,0.17,0.84,5,232,3,0,1,0,sales,low
1088,0.44,0.45,2,132,3,0,1,0,Sales,low
1089,0.37,0.57,2,130,3,0,1,0,sales,low
1090,0.1,0.79,6,291,4,0,1,0,sales,low
1091,0.4,0.5,2,130,3,0,1,0,sales,low
1092,0.89,1,5,246,5,0,1,0,sales,low
1093,0.42,0.48,2,143,3,0,1,0,sales,low
1094,0.46,0.55,2,129,3,0,1,0,sales,low
1095,0.09,0.83,6,255,4,0,1,0,sales,low
1096,0.37,0.51,2,155,3,0,1,0,sales,low
1097,0.1,0.77,6,265,4,0,1,0,sales,low
1098,0.1,0.84,6,279,4,0,1,0,sales,low
1099,0.11,0.97,6,284,4,0,1,0,sales,low
1100,0.9,1,5,221,6,0,1,0,sales,medium
1101,0.38,0.52,2,154,3,0,1,0,sales,medium
1102,0.36,0.52,2,147,3,0,1,0,sales,medium
1103,0.42,0.46,2,150,3,0,1,0,sales,medium
1104,0.09,0.94,7,267,4,0,1,0,sales,medium
1105,0.43,0.52,2,158,3,0,1,0,sales,medium
1106,0.24,0.46,7,224,5,0,1,0,accounting,medium
